,Label,nb_pixels
0,Fish,932312
1,Flower,1156107
2,Gravel,0
3,Sugar,0
4,Fish,1684325
5,Flower,592697
6,Gravel,0
7,Sugar,313950
8,Fish,1240822
9,Flower,1178858
10,Gravel,0
11,Sugar,306908
12,Fish,0
13,Flower,655989
14,Gravel,289939
15,Sugar,0
16,Fish,183231
17,Flower,0
18,Gravel,410592
19,Sugar,216627
20,Fish,0
21,Flower,0
22,Gravel,203030
23,Sugar,0
24,Fish,701799
25,Flower,0
26,Gravel,0
27,Sugar,217745
28,Fish,784836
29,Flower,0
30,Gravel,0
31,Sugar,1731623
32,Fish,0
33,Flower,0
34,Gravel,0
35,Sugar,947560
36,Fish,329865
37,Flower,0
38,Gravel,0
39,Sugar,461575
40,Fish,0
41,Flower,1533943
42,Gravel,1209512
43,Sugar,563301
44,Fish,0
45,Flower,0
46,Gravel,0
47,Sugar,190603
48,Fish,1600565
49,Flower,0
50,Gravel,467968
51,Sugar,523321
52,Fish,0
53,Flower,0
54,Gravel,298820
55,Sugar,389790
56,Fish,0
57,Flower,487012
58,Gravel,1177459
59,Sugar,1379813
60,Fish,759457
61,Flower,0
62,Gravel,202428
63,Sugar,0
64,Fish,0
65,Flower,0
66,Gravel,1980367
67,Sugar,929942
68,Fish,0
69,Flower,0
70,Gravel,0
71,Sugar,1196499
72,Fish,843497
73,Flower,1280158
74,Gravel,2311697
75,Sugar,424842
76,Fish,1798051
77,Flower,0
78,Gravel,310726
79,Sugar,0
80,Fish,0
81,Flower,0
82,Gravel,0
83,Sugar,877488
84,Fish,2228403
85,Flower,0
86,Gravel,252926
87,Sugar,445448
88,Fish,0
89,Flower,833721
90,Gravel,0
91,Sugar,460738
92,Fish,144077
93,Flower,621693
94,Gravel,0
95,Sugar,473035
96,Fish,1113732
97,Flower,0
98,Gravel,475980
99,Sugar,254240
100,Fish,2071986
101,Flower,0
102,Gravel,0
103,Sugar,259438
104,Fish,1963965
105,Flower,0
106,Gravel,0
107,Sugar,0
108,Fish,330371
109,Flower,0
110,Gravel,1052166
111,Sugar,1489455
112,Fish,263114
113,Flower,1309608
114,Gravel,791858
115,Sugar,509697
116,Fish,487245
117,Flower,1219363
118,Gravel,0
119,Sugar,457283
120,Fish,1286380
121,Flower,0
122,Gravel,1995022
123,Sugar,431567
124,Fish,249911
125,Flower,0
126,Gravel,0
127,Sugar,1835333
128,Fish,0
129,Flower,1524904
130,Gravel,398570
131,Sugar,845281
132,Fish,0
133,Flower,1157958
134,Gravel,392167
135,Sugar,669603
136,Fish,0
137,Flower,1992402
138,Gravel,0
139,Sugar,0
140,Fish,408397
141,Flower,0
142,Gravel,0
143,Sugar,0
144,Fish,0
145,Flower,903535
146,Gravel,0
147,Sugar,435588
148,Fish,1049314
149,Flower,0
150,Gravel,0
151,Sugar,146596
152,Fish,1030288
153,Flower,162684
154,Gravel,615870
155,Sugar,0
156,Fish,0
157,Flower,0
158,Gravel,829475
159,Sugar,0
160,Fish,0
161,Flower,213024
162,Gravel,346709
163,Sugar,0
164,Fish,0
165,Flower,0
166,Gravel,1892047
167,Sugar,0
168,Fish,982424
169,Flower,1143408
170,Gravel,1824712
171,Sugar,0
172,Fish,0
173,Flower,0
174,Gravel,624700
175,Sugar,0
176,Fish,0
177,Flower,620059
178,Gravel,213143
179,Sugar,650597
180,Fish,821499
181,Flower,1457597
182,Gravel,0
183,Sugar,0
184,Fish,0
185,Flower,0
186,Gravel,1349320
187,Sugar,1284813
188,Fish,181780
189,Flower,0
190,Gravel,1897874
191,Sugar,189881
192,Fish,0
193,Flower,0
194,Gravel,1971244
195,Sugar,588242
196,Fish,0
197,Flower,2043443
198,Gravel,0
199,Sugar,152309
200,Fish,1426334
201,Flower,0
202,Gravel,0
203,Sugar,0
204,Fish,437864
205,Flower,0
206,Gravel,409880
207,Sugar,0
208,Fish,1133909
209,Flower,0
210,Gravel,0
211,Sugar,1504942
212,Fish,524672
213,Flower,1119911
214,Gravel,1317788
215,Sugar,0
216,Fish,718389
217,Flower,0
218,Gravel,413436
219,Sugar,1454003
220,Fish,2035070
221,Flower,0
222,Gravel,0
223,Sugar,508871
224,Fish,131820
225,Flower,0
226,Gravel,1264591
227,Sugar,0
228,Fish,235620
229,Flower,1565640
230,Gravel,0
231,Sugar,0
232,Fish,997533
233,Flower,0
234,Gravel,0
235,Sugar,0
236,Fish,350304
237,Flower,0
238,Gravel,0
239,Sugar,881087
240,Fish,0
241,Flower,935481
242,Gravel,0
243,Sugar,0
244,Fish,0
245,Flower,109011
246,Gravel,881092
247,Sugar,147630
248,Fish,0
249,Flower,1777454
250,Gravel,0
251,Sugar,799145
252,Fish,368256
253,Flower,0
254,Gravel,447768
255,Sugar,822228
256,Fish,0
257,Flower,0
258,Gravel,353584
259,Sugar,284580
260,Fish,1359131
261,Flower,1593948
262,Gravel,0
263,Sugar,1219304
264,Fish,1081894
265,Flower,0
266,Gravel,0
267,Sugar,909668
268,Fish,0
269,Flower,865128
270,Gravel,416634
271,Sugar,1153584
272,Fish,0
273,Flower,870389
274,Gravel,0
275,Sugar,1669620
276,Fish,0
277,Flower,423800
278,Gravel,1002728
279,Sugar,1130115
280,Fish,1441814
281,Flower,0
282,Gravel,187359
283,Sugar,871610
284,Fish,0
285,Flower,0
286,Gravel,1429981
287,Sugar,853366
288,Fish,1104325
289,Flower,481914
290,Gravel,485238
291,Sugar,325857
292,Fish,0
293,Flower,683442
294,Gravel,108779
295,Sugar,987077
296,Fish,239803
297,Flower,644277
298,Gravel,319991
299,Sugar,1505682
300,Fish,1505171
301,Flower,56165
302,Gravel,0
303,Sugar,229235
304,Fish,1075870
305,Flower,0
306,Gravel,1107864
307,Sugar,0
308,Fish,0
309,Flower,0
310,Gravel,0
311,Sugar,1593485
312,Fish,1594815
313,Flower,0
314,Gravel,700490
315,Sugar,302673
316,Fish,1232774
317,Flower,0
318,Gravel,654465
319,Sugar,459314
320,Fish,0
321,Flower,0
322,Gravel,0
323,Sugar,483987
324,Fish,0
325,Flower,1240536
326,Gravel,0
327,Sugar,877864
328,Fish,2183570
329,Flower,0
330,Gravel,350005
331,Sugar,217700
332,Fish,0
333,Flower,0
334,Gravel,893967
335,Sugar,496413
336,Fish,0
337,Flower,0
338,Gravel,0
339,Sugar,473480
340,Fish,802336
341,Flower,1123159
342,Gravel,671409
343,Sugar,582895
344,Fish,0
345,Flower,0
346,Gravel,1736204
347,Sugar,279685
348,Fish,599830
349,Flower,640429
350,Gravel,0
351,Sugar,0
352,Fish,278296
353,Flower,2065286
354,Gravel,0
355,Sugar,214084
356,Fish,0
357,Flower,943105
358,Gravel,0
359,Sugar,129642
360,Fish,722013
361,Flower,0
362,Gravel,379320
363,Sugar,0
364,Fish,467995
365,Flower,809976
366,Gravel,641363
367,Sugar,296307
368,Fish,0
369,Flower,941710
370,Gravel,1252441
371,Sugar,0
372,Fish,1398091
373,Flower,0
374,Gravel,525995
375,Sugar,288002
376,Fish,0
377,Flower,829024
378,Gravel,631561
379,Sugar,0
380,Fish,556312
381,Flower,0
382,Gravel,1151970
383,Sugar,1939481
384,Fish,0
385,Flower,536203
386,Gravel,0
387,Sugar,1062618
388,Fish,0
389,Flower,0
390,Gravel,519111
391,Sugar,647563
